,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
408,2017,4,Buenos Aires,1241172,1718013,131181,60082,314480,3181896
409,2017,4,Capital Federal,571363,961688,36277,3119,98770,1582324
410,2017,4,Catamarca,27083,263,11,1,22000,29558
411,2017,4,Chaco,55035,39690,389,380,11210,96615
412,2017,4,Chubut,56378,15097,1187,14070,67080,93440
413,2017,4,Córdoba,349710,324709,12778,12043,107390,709979
414,2017,4,Corrientes,56786,34722,894,1334,350,93771
415,2017,4,Entre Ríos,107764,73692,1894,10267,860,193703
416,2017,4,Formosa,23410,6973,19,1603,510,32056
417,2017,4,Jujuy,33844,9626,20,28,340,43552
418,2017,4,La Pampa,10808,50495,8272,10569,19270,82071
419,2017,4,La Rioja,16912,34984,14,253,310,52194
420,2017,4,Mendoza,152896,16114,3015,6206,19200,180151
421,2017,4,Misiones,56271,47470,95,5,540,103895
422,2017,4,Neuquén,46739,54119,1017,12404,26920,116971
423,2017,4,Río Negro,68690,30451,1250,4259,51140,109764
424,2017,4,Salta,80705,50446,127,158,13760,132812
425,2017,4,San Juan,54079,451,812,2246,10360,58624
426,2017,4,San Luis,11104,1119,335,17,23290,14904
427,2017,4,Santa Cruz,18614,1668,582,4638,39500,29452
428,2017,4,Santa Fe,341680,293831,10602,10965,153820,672460
429,2017,4,Santiago Del Estero,27313,40407,19,1025,800,68844
430,2017,4,Tierra Del Fuego,19372,6906,530,1,20450,28854
431,2017,4,Tucumán,156583,5223,105,102,3190,162332
432,2017,3,Buenos Aires,1288025,1571180,124920,35058,387770,3057960
433,2017,3,Capital Federal,583249,941092,33481,2814,97230,1570359
434,2017,3,Catamarca,26873,4411,12,1,21810,33478
435,2017,3,Chaco,54888,37307,456,36,10720,93759
436,2017,3,Chubut,56359,5645,1217,13503,68200,83544
437,2017,3,Córdoba,344580,319360,10579,7137,149880,696644
438,2017,3,Corrientes,56247,33993,947,1334,270,92548
439,2017,3,Entre Ríos,107774,69596,1786,6245,630,185464
440,2017,3,Formosa,22647,6816,428,2202,120,32105
441,2017,3,Jujuy,33796,9395,20,23,80,43242
442,2017,3,La Pampa,11378,49679,5153,11536,19440,79690
