,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
3103,BUENOS AIRES,San Nicolás,Conesa,2066,SI,NO,NO,NO,SI,NO,SI,SI,SI,6763010.0,-335962124822607,-603541264450858
3104,BUENOS AIRES,San Nicolás,Erézcano,434,NO,NO,NO,NO,NO,SI,NO,NO,NO,6763020.0,-335232449410318,-603174454958625
3105,BUENOS AIRES,San Nicolás,General Rojo,2464,NO,NO,NO,SI,NO,NO,SI,SI,SI,6763030.0,-334758683523604,-602874270636731
3106,BUENOS AIRES,San Nicolás,La Emilia,5325,NO,NO,NO,NO,NO,NO,NO,SI,SI,6763040.0,-333514852802661,-603139573529074
3107,BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,133602,SI,SI,SI,SI,SI,SI,SI,SI,SI,6763050.0,-333487082868277,-60231333927581
3108,BUENOS AIRES,San Nicolás,Villa Campi,0,NO,NO,NO,NO,NO,NO,NO,SI,NO,,-333599587304228,-603000892882903
3109,BUENOS AIRES,San Nicolás,Villa Canto,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-333708479748,-602954116362263
3110,BUENOS AIRES,San Nicolás,Villa Esperanza,386,NO,NO,NO,NO,NO,NO,NO,NO,NO,6763060.0,-33422326147095,-602605874904382
3111,BUENOS AIRES,San Nicolás,Villa Riccio,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-333630498059477,-602953990898749
3112,CABA,COMUNA 05,BOEDO,47306,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,-346299600080664,-584188403738383
3113,CORDOBA,Marcos Juárez,Alejo Ledesma,3299,NO,NO,NO,SI,SI,SI,SI,SI,SI,14063010.0,-336076125942499,-626261405718946
3114,CORDOBA,Marcos Juárez,Arias,7075,SI,NO,NO,NO,NO,NO,SI,SI,SI,14063020.0,-336411632781096,-62402789011452
3115,CORDOBA,Marcos Juárez,Camilo Aldao,5197,SI,NO,NO,NO,SI,NO,SI,SI,SI,14063030.0,-33123740825534,-620965954602144
3116,CORDOBA,Marcos Juárez,Capitán General Bernardo O'Higgins,483,NO,NO,NO,SI,NO,SI,SI,NO,NO,14063040.0,-33247202805036,-62269738358968
3117,CORDOBA,Marcos Juárez,Cavanagh,1202,NO,NO,NO,NO,NO,SI,SI,NO,SI,14063050.0,-33478334898944,-623393464555145
3118,CORDOBA,Marcos Juárez,Colonia Barge,153,NO,NO,NO,NO,NO,NO,NO,NO,NO,14063060.0,-332585411549016,-626081628269792
3119,TUCUMAN,Yerba Buena,EX INGENIO SAN JOSE,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-267992050305522,-652646764135868
3120,TUCUMAN,Yerba Buena,Villa Carmela,14728,SI,NO,NO,NO,NO,SI,SI,SI,SI,90119020.0,-267677751896138,-652708444093707
3121,TUCUMAN,Yerba Buena,Villa San Javier,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-267825946807861,-653595657348633
3122,TUCUMAN,Yerba Buena,Yerba Buena - Marcos Paz,57392,SI,SI,NO,SI,NO,NO,SI,SI,SI,90119030.0,-268088452576169,-653106988268486
3123,BUENOS AIRES,Chacabuco,Rawson,2123,SI,NO,NO,SI,NO,SI,SI,SI,SI,6210050.0,-346086374337309,-600677106761007
3124,BUENOS AIRES,Chascomús,Barrio Lomas Altas,61,NO,NO,NO,NO,NO,NO,NO,NO,NO,6217003.0,-355739889229165,-580680436475186
3125,BUENOS AIRES,Chascomús,Barrio San Cayetano,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,,-355466815668936,-580013258753826
